stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_timezone,wheelchair_boarding
203,CADAM2,CADAM / Centre Administratif,43.675686,7.199235,,0,place_WCADA,,1
205,CONSE4,Conservatoire National de Région,43.725089,7.273662,,0,place_096794,,1
206,CPONS2,Rectorat de Nice,43.730247,7.276143,,0,place_RECTO,,1
207,CHESA6,Chemin Saquier,43.749535,7.216301,,0,place_096756,,0
208,CHALE9,Chalet des Roses,43.69737,7.240981,,0,place_096740,,1
209,CHALE4,Chalet des Roses,43.697261,7.240797,,0,place_096740,,1
210,CHAMB6,Parc Chambrun,43.722365,7.263951,,0,place_101317,,0
211,CHAMB9,Parc Chambrun,43.723458,7.261073,,0,place_096741,,0
212,CHART7,Charretiers,43.729584,7.229858,,0,place_096743,,0
213,CHART8,Charretiers,43.729233,7.230051,,0,place_096743,,0
214,CHATO5,Château de l'Anglais,43.688125,7.295594,,0,place_097191,,0
215,CHATO4,Château de l'Anglais,43.687892,7.295529,,0,place_097191,,0
216,CHBAU6,Château des Baumettes,43.695037,7.250312,,0,place_096746,,0
218,STANE4,Château Sainte-Anne,43.688555,7.231199,,0,place_096747,,0
219,CHATE0,Châteauneuf,43.701055,7.2511,,0,place_096748,,0
220,CHATE5,Châteauneuf,43.700654,7.251172,,0,place_096748,,0
221,CHAUT0,Charmettes,43.71964,7.234852,,0,place_096742,,0
222,CHAUT9,Charmettes,43.719546,7.234883,,0,place_096742,,0
224,CHETO0,Chemin de la Tour,43.736262,7.215505,,0,place_096751,,0
225,CHETO1,Chemin de la Tour,43.736392,7.215481,,0,place_096751,,0
226,CARCH3,Chemin de l'Archet,43.695457,7.229034,,0,place_096752,,0
227,CARCH7,Chemin de l'Archet,43.695467,7.228892,,0,place_096752,,0
228,CHFOR7,Chemin du Fort,43.695623,7.298859,,0,place_096753,,0
229,CHFOR5,Chemin du Fort,43.695602,7.298907,,0,place_096753,,0
230,CPONS8,Rectorat de Nice,43.729982,7.276231,,0,place_RECTO,,1
231,TORDU0,Chemin Tordu,43.695066,7.286435,,0,place_096757,,1
232,TORDU3,Chemin Tordu,43.694967,7.2866,,0,place_096757,,1
233,CBLAN6,Chênes Blancs,43.736654,7.297145,,0,place_096759,,0
234,HENIE7,Chénier,43.724133,7.260497,,0,place_096760,,0
237,CHECA1,Chez Cane,43.697667,7.209361,,0,place_096763,,0
238,CHECA5,Chez Cane,43.697689,7.209422,,0,place_096763,,0
239,CHOLI7,Chez Olivier,43.73467,7.237523,,0,place_096764,,0
240,CHOLI8,Chez Olivier,43.734669,7.237557,,0,place_096764,,0
241,NCCIM1,Cimetière Est,43.743639,7.300774,,0,place_099536,,0
242,NCCIM2,Cimetière Est,43.743462,7.300546,,0,place_099536,,0
243,CIMIH6,Collège Matisse,43.722507,7.272274,,0,place_099398,,0
244,ARMEN6,Cité Arménienne,43.713738,7.225169,,0,place_096767,,0
245,ARMEN7,Cité Arménienne,43.713597,7.225095,,0,place_096767,,0
247,CPAST3,Maccario / Raybaud,43.724785,7.285188,,0,place_097186,,1
248,CITEP7,Cité PLM,43.71975,7.286272,,0,place_096768,,0
249,CITEP5,Cité PLM,43.719871,7.286791,,0,place_096768,,0
250,CITEV9,Cité Vallon,43.727047,7.265076,,0,place_096769,,1
251,CITEV7,Cité Vallon,43.727143,7.265058,,0,place_096769,,1
252,CALUN8,Clair de Lune,43.700185,7.249609,,0,place_096770,,0
253,CALUN9,Clair de Lune,43.700107,7.249257,,0,place_096770,,0
254,CLAIR8,Clair Horizon,43.685558,7.225473,,0,place_096771,,1
255,CLAIR0,Clair Horizon,43.68499,7.225042,,0,place_096771,,1
258,COECI9,Coecilia,43.695778,7.29572,,0,place_096775,,0
259,COECI0,Coecilia,43.695976,7.295712,,0,place_096775,,0
260,BEHRA2,Col de Bast,43.732856,7.244125,,0,place_096776,,0
261,CALSP9,Cal de Spagnol / Fabron,43.693529,7.210438,,0,place_CALSP9,,1
262,CALSP0,Cal de Spagnol / Fabron,43.693389,7.210508,,0,place_096708,,1
263,LECOL3,Col de Villefranche,43.705287,7.300523,,0,place_096777,,1
264,4CHEM2,Col des 4 Chemins,43.716782,7.312526,,0,place_098343,,0
265,COLET6,Colette,43.697799,7.230568,,0,place_096779,,1
266,COLET7,Colette,43.697435,7.231153,,0,place_096779,,1
267,COLIB1,Colibri,43.73796,7.23732,,0,place_096780,,0
